Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2017.11.22_10.06.58,-8.500517,51.894671,0,A,2,LTE,-115,-13,8,7,-94,1,1,D,-119,-18,-8.491719,51.893905,609.7
2017.11.22_10.06.59,-8.500517,51.894671,0,A,2,LTE,-118,-13,5,5,-94,8,6,D,-120,-18,-8.491719,51.893905,609.7
2017.11.22_10.07.01,-8.500517,51.894671,0,A,2,LTE,-119,-14,2,5,-94,538,23,D,-120,-18,-8.491719,51.893905,609.7
2017.11.22_10.07.03,-8.500517,51.894671,0,A,2,LTE,-119,-14,2,6,-94,5178,194,D,-120,-18,-8.491719,51.893905,609.7
2017.11.22_10.07.04,-8.500517,51.894671,0,A,2,LTE,-116,-13,3,6,-94,6990,130,D,-119,-18,-8.491719,51.893905,609.7
2017.11.22_10.07.05,-8.500517,51.894671,0,A,2,LTE,-116,-13,3,6,-94,7124,169,D,-119,-18,-8.491719,51.893905,609.7
2017.11.22_10.07.06,-8.500517,51.894671,0,A,2,LTE,-115,-13,3,6,-94,5301,98,D,-118,-18,-8.491719,51.893905,609.7
2017.11.22_10.07.07,-8.500517,51.894671,0,A,2,LTE,-115,-13,3,7,-94,4865,90,D,-118,-18,-8.491719,51.893905,609.7
2017.11.22_10.07.08,-8.500517,51.894671,0,A,2,LTE,-109,-13,4,8,-92,9898,184,D,-117,-18,-8.491719,51.893905,609.7
2017.11.22_10.07.09,-8.500517,51.894671,0,A,2,LTE,-109,-13,4,7,-94,9909,184,D,-117,-18,-8.491719,51.893905,609.7
2017.11.22_10.07.10,-8.500517,51.894671,0,A,2,LTE,-113,-14,4,7,-94,5614,104,D,-126,-19,-8.491719,51.893905,609.7
2017.11.22_10.07.12,-8.500517,51.894671,0,A,2,LTE,-113,-14,4,7,-94,14192,271,D,-126,-19,-8.491719,51.893905,609.7
2017.11.22_10.07.13,-8.500517,51.894671,0,A,2,LTE,-110,-13,6,9,-93,7851,146,D,-125,-19,-8.491719,51.893905,609.7
2017.11.22_10.07.14,-8.500517,51.894671,0,A,2,LTE,-110,-13,6,7,-,10423,193,D,-125,-19,-8.491719,51.893905,609.7
2017.11.22_10.07.15,-8.500517,51.894671,0,A,2,LTE,-111,-13,5,6,-89,6240,159,D,-120,-19,-8.491719,51.893905,609.7
2017.11.22_10.07.16,-8.500517,51.894671,0,A,2,LTE,-111,-13,5,6,-92,111,3,D,-120,-19,-8.491719,51.893905,609.7
2017.11.22_10.07.17,-8.500517,51.894671,0,A,2,LTE,-109,-13,10,6,-92,9103,198,D,-120,-18,-8.491719,51.893905,609.7
2017.11.22_10.07.18,-8.500517,51.894671,0,A,2,LTE,-109,-13,10,10,-89,4742,91,D,-120,-18,-8.491719,51.893905,609.7
2017.11.22_10.07.19,-8.500517,51.894671,0,A,2,LTE,-106,-12,8,10,-89,7191,131,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.07.21,-8.500517,51.894671,0,A,2,LTE,-106,-12,8,9,-89,4484,117,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.07.22,-8.500517,51.894671,0,A,2,LTE,-106,-13,8,8,-94,5457,103,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.07.23,-8.500517,51.894671,0,A,2,LTE,-106,-13,8,7,-94,3391,93,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.07.24,-8.500517,51.894671,0,A,2,LTE,-117,-13,6,7,-94,1957,36,D,-124,-19,-8.491719,51.893905,609.7
2017.11.22_10.07.26,-8.500517,51.894671,0,A,2,LTE,-117,-13,6,7,-94,7169,158,D,-124,-19,-8.491719,51.893905,609.7
2017.11.22_10.07.27,-8.500517,51.894671,0,A,2,LTE,-114,-13,4,6,-94,3075,60,D,-123,-19,-8.491719,51.893905,609.7
2017.11.22_10.07.28,-8.500517,51.894671,0,A,2,LTE,-114,-13,4,6,-94,2919,54,D,-123,-19,-8.491719,51.893905,609.7
2017.11.22_10.07.29,-8.500517,51.894671,0,A,2,LTE,-114,-13,4,7,-,5815,108,D,-123,-19,-8.491719,51.893905,609.7
2017.11.22_10.07.30,-8.500517,51.894671,0,A,2,LTE,-114,-13,4,7,-94,4440,83,D,-123,-19,-8.491719,51.893905,609.7
2017.11.22_10.07.31,-8.500517,51.894671,0,A,2,LTE,-112,-13,6,6,-94,1822,34,D,-122,-20,-8.491719,51.893905,609.7
2017.11.22_10.07.32,-8.500517,51.894671,0,A,2,LTE,-112,-13,6,6,-94,6397,118,D,-122,-20,-8.491719,51.893905,609.7
2017.11.22_10.07.33,-8.500517,51.894671,0,A,2,LTE,-113,-13,6,7,-94,6811,126,D,-122,-20,-8.491719,51.893905,609.7
2017.11.22_10.07.35,-8.500517,51.894671,0,A,2,LTE,-113,-13,6,7,-94,4440,84,D,-122,-20,-8.491719,51.893905,609.7
2017.11.22_10.07.36,-8.500517,51.894671,0,A,2,LTE,-112,-13,6,7,-94,5703,106,D,-121,-19,-8.491719,51.893905,609.7
2017.11.22_10.07.37,-8.500517,51.894671,0,A,2,LTE,-112,-13,6,7,-94,4797,89,D,-121,-19,-8.491719,51.893905,609.7
2017.11.22_10.07.38,-8.500517,51.894671,0,A,2,LTE,-112,-14,6,7,-94,782,36,D,-121,-19,-8.491719,51.893905,609.7
2017.11.22_10.07.39,-8.500517,51.894671,0,A,2,LTE,-112,-14,6,7,-94,2270,111,D,-121,-19,-8.491719,51.893905,609.7
2017.11.22_10.07.40,-8.500517,51.894671,0,A,2,LTE,-112,-13,6,7,-94,2001,103,D,-122,-20,-8.491719,51.893905,609.7
2017.11.22_10.07.41,-8.500517,51.894671,0,A,2,LTE,-112,-13,6,7,-94,3769,173,D,-122,-20,-8.491719,51.893905,609.7
2017.11.22_10.07.42,-8.500517,51.894671,0,A,2,LTE,-112,-13,7,7,-94,1386,50,D,-122,-20,-8.491719,51.893905,609.7
2017.11.22_10.07.43,-8.500517,51.894671,0,A,2,LTE,-112,-13,7,7,-94,4082,164,D,-122,-20,-8.491719,51.893905,609.7
