Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2017.12.01_17.53.27,-8.471952,51.895519,2,A,1,LTE,-107,-15,-5,7,-90,2617,52,D,-109,-19,-8.472275,51.895123,49.3
2017.12.01_17.53.25,-8.471952,51.895519,2,A,1,LTE,-106,-17,-7,7,-90,3489,65,D,-110,-19,-8.472275,51.895123,49.3
2017.12.01_17.53.24,-8.471952,51.895519,2,A,1,LTE,-106,-17,-7,2,-88,3645,87,D,-108,-18,-8.472275,51.895123,49.3
2017.12.01_17.53.26,-8.471952,51.895519,2,A,1,LTE,-107,-15,-5,7,-90,4048,74,D,-109,-19,-8.472275,51.895123,49.3
2017.12.03_14.46.21,-8.485761,51.896281,3,A,2,LTE,-101,-16,-8,2,-84,357,16,D,-101,-15,-8.485864,51.896748,52.41
2017.12.03_14.46.29,-8.485761,51.896281,3,A,2,LTE,-100,-15,-4,4,-87,838,16,D,-100,-15,-8.485864,51.896748,52.41
2017.12.03_14.46.34,-8.485761,51.896281,3,A,2,LTE,-104,-20,-9,4,-87,883,17,D,-102,-15,-8.485864,51.896748,52.41
2017.12.03_14.46.38,-8.485761,51.896281,3,A,2,LTE,-107,-20,-9,2,-86,1107,21,D,-96,-16,-8.485864,51.896748,52.41
2017.12.03_14.46.23,-8.485761,51.896281,3,A,2,LTE,-103,-17,-6,5,-82,1420,65,D,-,-,-8.485864,51.896748,52.41
2017.12.03_14.46.22,-8.485761,51.896281,3,A,2,LTE,-101,-16,-8,5,-86,1431,65,D,-,-,-8.485864,51.896748,52.41
2017.12.03_14.46.37,-8.485761,51.896281,3,A,2,LTE,-107,-20,-9,4,-88,1576,29,D,-96,-16,-8.485864,51.896748,52.41
2017.12.03_14.46.24,-8.485761,51.896281,3,A,2,LTE,-103,-17,-6,4,-84,1588,38,D,-,-,-8.485864,51.896748,52.41
2017.12.03_14.46.36,-8.485761,51.896281,3,A,2,LTE,-104,-20,-9,3,-90,1666,31,D,-102,-15,-8.485864,51.896748,52.41
